ubiProv,ubiReg,DEPARTAMENTO,PROVINCIA,IDE,IDENTIDAD,SALUD,EDUCACION,SANEAMIENTO,ELECTRIFICACION,POBLACION,COSTA,CAPITAL,TAMANO
90600,90000,HUANCAVELICA,Huaytara,0.5709,97.4424,6.9062,93.0713,24.043,59.383,23361,NO,NO,1
90700,90000,HUANCAVELICA,Tayacaja,0.5827,97.2705,4.6864,77.79,28.8652,79.6273,107715,NO,NO,3
100100,100000,HUANUCO,Huanuco,0.7179,97.4669,21.9022,84.4585,65.5353,74.9612,301396,NO,SI,4
100200,100000,HUANUCO,Ambo,0.5594,97.9204,11.1829,74.8834,25.5836,62.6859,57957,NO,NO,2
100300,100000,HUANUCO,Dos de Mayo,0.5822,96.8027,13.0303,74.0063,49.4522,49.1357,52025,NO,NO,2
100400,100000,HUANUCO,Huacaybamba,0.5826,96.5215,6.5479,66.9303,53.1725,63.7385,22403,NO,NO,1
100500,100000,HUANUCO,Huamalies,0.5598,94.9934,11.3609,75.2894,41.526,49.1445,73621,NO,NO,2
100600,100000,HUANUCO,Leoncio Prado,0.6803,95.4785,18.5407,91.4246,51.5353,70.8055,129953,NO,NO,3
100700,100000,HUANUCO,Maranon,0.477,96.8355,6.7634,64.0645,23.8282,42.5136,30594,NO,NO,1
100800,100000,HUANUCO,Pachitea,0.4821,94.7089,8.922,52.4708,35.9075,43.0686,69003,NO,NO,2
100900,100000,HUANUCO,Puerto Inca,0.4807,90.0761,13.7197,68.0194,25.5408,33.8304,32060,NO,NO,1
101000,100000,HUANUCO,Lauricocha,0.5554,96.3078,11.2596,82.0013,36.3976,44.2322,38257,NO,NO,1
101100,100000,HUANUCO,Yarowilca,0.5294,98.2606,9.5985,76.9046,31.8684,41.6769,33715,NO,NO,1
110100,110000,ICA,Ica,0.845,99.5035,30.0232,87.7433,94.266,90.9563,349036,SI,SI,4
110200,110000,ICA,Chincha,0.7622,99.4989,16.2647,84.4472,83.1503,86.8764,210098,SI,NO,3
110300,110000,ICA,Nazca,0.7812,99.3843,18.7779,87.539,84.1663,88.2205,58817,SI,NO,2
110400,110000,ICA,Palpa,0.775,99.3064,18.157,85.4934,91.1803,81.2415,12621,NO,NO,1
110500,110000,ICA,Pisco,0.7092,99.2571,13.8738,84.8986,70.459,76.8762,132986,SI,NO,3
120100,120000,JUNIN,Huancayo,0.8151,98.8701,20.3101,94.5642,85.4177,94.8395,497299,NO,SI,4
120200,120000,JUNIN,Concepcion,0.6705,97.8206,6.3452,85.5002,58.1659,83.1976,58942,NO,NO,2
120300,120000,JUNIN,Chanchamayo,0.6428,97.5518,8.1031,80.7343,58.9306,70.703,193140,NO,NO,3
120400,120000,JUNIN,Jauja,0.7053,98.0137,10.3796,90.8331,55.8857,90.6086,88524,NO,NO,2
120500,120000,JUNIN,Junin,0.6267,98.9176,12.5177,88.0828,23.2858,82.1882,27722,NO,NO,1
120600,120000,JUNIN,Satipo,0.5807,96.1116,5.1873,72.4222,51.8365,61.3319,244727,NO,NO,3
120700,120000,JUNIN,Tarma,0.7105,98.8506,10.9357,84.8047,62.1884,91.1852,111631,NO,NO,3
120800,120000,JUNIN,Yauli,0.7727,99.5,12.4015,99.0315,75.5876,91.573,45858,NO,NO,1
120900,120000,JUNIN,Chupaca,0.6888,97.8224,6.7123,93.7842,58.9627,82.6588,53564,NO,NO,2
130100,130000,LA LIBERTAD,Trujillo,0.888,99.3464,32.9186,95.7003,98.0614,96.0229,914036,SI,SI,4
