"ubiReg","reg","ubiPro","pro","parti","votos"
"930000","ASIA","931200","SIRIA","MOVIMIENTO NUEVA IZQUIERDA",0
"930000","ASIA","931200","SIRIA","PARTIDO APRISTA PERUANO",0
"930000","ASIA","931200","SIRIA","PARTIDO JUSTICIA NACIONAL",0
"930000","ASIA","931200","SIRIA","PARTIDO RECONSTRUCCION DEMOCRATICA",0
"930000","ASIA","931200","SIRIA","PARTIDO RENACIMIENTO ANDINO",0
"930000","ASIA","931200","SIRIA","PARTIDO SOCIALISTA",0
"930000","ASIA","931200","SIRIA","PERU AHORA",0
"930000","ASIA","931200","SIRIA","PROGRESEMOS PERU",0
"930000","ASIA","931200","SIRIA","RESTAURACION NACIONAL",0
"930000","ASIA","931200","SIRIA","RESURGIMIENTO PERUANO",0
"930000","ASIA","931200","SIRIA","UNIDAD NACIONAL",0
"930000","ASIA","931200","SIRIA","UNION POR EL PERU",0
"930000","ASIA","931200","SIRIA","Y SE LLAMA PERU",0
"050000","AYACUCHO","051100","SUCRE","UNION POR EL PERU",2065
"910000","AFRICA","910600","SUDAFRICA","UNIDAD NACIONAL",23
"940000","EUROPA","942700","SUECIA","UNIDAD NACIONAL",244
"940000","EUROPA","942800","SUIZA","UNIDAD NACIONAL",1283
"190000","PIURA","190600","SULLANA","PARTIDO APRISTA PERUANO",43143
"220000","TACNA","220100","TACNA","UNION POR EL PERU",61755
"160000","MADRE DE DIOS","160300","TAHUAMANU","PARTIDO APRISTA PERUANO",942
"930000","ASIA","931000","TAILANDIA","UNIDAD NACIONAL",3
"190000","PIURA","190700","TALARA","PARTIDO APRISTA PERUANO",22949
"160000","MADRE DE DIOS","160100","TAMBOPATA","UNION POR EL PERU",12629
"220000","TACNA","220200","TARATA","UNION POR EL PERU",2582
"110000","JUNIN","110500","TARMA","UNION POR EL PERU",20036
"080000","HUANCAVELICA","080500","TAYACAJA","UNION POR EL PERU",20302
"210000","SAN MARTIN","210800","TOCACHE","UNION POR EL PERU",10847
"120000","LA LIBERTAD","120100","TRUJILLO","PARTIDO APRISTA PERUANO",212423
"230000","TUMBES","230100","TUMBES","UNION POR EL PERU",16038
"910000","AFRICA","910900","TUNEZ","ALIANZA PARA EL PROGRESO",0
"910000","AFRICA","910900","TUNEZ","ALIANZA POR EL FUTURO",0
"910000","AFRICA","910900","TUNEZ","AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL",0
"910000","AFRICA","910900","TUNEZ","CON FUERZA PERU",0
"910000","AFRICA","910900","TUNEZ","CONCERTACION DESCENTRALISTA",0
"910000","AFRICA","910900","TUNEZ","FRENTE DE CENTRO",0
"910000","AFRICA","910900","TUNEZ","FUERZA DEMOCRATICA",0
"910000","AFRICA","910900","TUNEZ","MOVIMIENTO NUEVA IZQUIERDA",0
"910000","AFRICA","910900","TUNEZ","PARTIDO APRISTA PERUANO",0
"910000","AFRICA","910900","TUNEZ","PARTIDO JUSTICIA NACIONAL",0
"910000","AFRICA","910900","TUNEZ","PARTIDO RECONSTRUCCION DEMOCRATICA",0
"910000","AFRICA","910900","TUNEZ","PARTIDO RENACIMIENTO ANDINO",0
"910000","AFRICA","910900","TUNEZ","PARTIDO SOCIALISTA",0
"910000","AFRICA","910900","TUNEZ","PERU AHORA",0
"910000","AFRICA","910900","TUNEZ","PROGRESEMOS PERU",0
"910000","AFRICA","910900","TUNEZ","RESTAURACION NACIONAL",0
"910000","AFRICA","910900","TUNEZ","RESURGIMIENTO PERUANO",0
"910000","AFRICA","910900","TUNEZ","UNIDAD NACIONAL",0
"910000","AFRICA","910900","TUNEZ","UNION POR EL PERU",0
"910000","AFRICA","910900","TUNEZ","Y SE LLAMA PERU",0
"930000","ASIA","931500","TURQUIA","UNIDAD NACIONAL",5
"150000","LORETO","150500","UCAYALI","PARTIDO APRISTA PERUANO",6179
"940000","EUROPA","943400","UCRANIA","UNION POR EL PERU",12
"070000","CUSCO","071300","URUBAMBA","UNION POR EL PERU",14296
"920000","AMERICA","922700","URUGUAY","UNIDAD NACIONAL",214
"010000","AMAZONAS","010700","UTCUBAMBA","UNION POR EL PERU",11126
"920000","AMERICA","922800","VENEZUELA","UNIDAD NACIONAL",5198
"050000","AYACUCHO","050700","VICTOR FAJARDO","UNION POR EL PERU",5242
"050000","AYACUCHO","050900","VILCAS HUAMAN","UNION POR EL PERU",4032
"120000","LA LIBERTAD","121200","VIRU","PARTIDO APRISTA PERUANO",18230
"090000","HUANUCO","091100","YAROWILCA","UNION POR EL PERU",5560
"110000","JUNIN","110600","YAULI","PARTIDO APRISTA PERUANO",7613
"140000","LIMA","140700","YAUYOS","UNION POR EL PERU",4446
"020000","ANCASH","021500","YUNGAY","UNION POR EL PERU",6418
"200000","PUNO","201000","YUNGUYO","UNION POR EL PERU",10120
"230000","TUMBES","230300","ZARUMILLA","UNIDAD NACIONAL",4183
